| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183431097 | 02 | OK |
| 42-UW-71 | 1586183439105 | 02 | OK |
| 28-MC-82 | 1586183450113 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183431097 | 02 | OK |
| 42-UW-71 | 1586183439105 | 02 | OK |
| 28-MC-82 | 1586183450113 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183431097 | 02 | OK |
| 42-UW-71 | 1586183439105 | 02 | OK |
| 28-MC-82 | 1586183450113 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183431097 | 02 | OK |
| 42-UW-71 | 1586183439105 | 02 | OK |
| 28-MC-82 | 1586183450113 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183431097 | 02 | OK |
| 42-UW-71 | 1586183439105 | 02 | OK |
| 28-MC-82 | 1586183450113 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183431097 | 02 | OK |
| 42-UW-71 | 1586183439105 | 02 | OK |
| 28-MC-82 | 1586183450113 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183431097 | 02 | OK |
| 42-UW-71 | 1586183439105 | 02 | OK |
| 28-MC-82 | 1586183450113 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183431097 | 02 | OK |
| 42-UW-71 | 1586183439105 | 02 | OK |
| 28-MC-82 | 1586183450113 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
| 28-MC-82 | 1586183269976 | 02 | OK |
| 45-SH-72 | 1586183308002 | 02 | OK |
| 28-MC-82 | 1586183325011 | 02 | KO |
| 78-ST-77 | 1586183339023 | 02 | OK |
| 28-MC-82 | 1586183352034 | 02 | OK |
| 64-IY-98 | 1586183360040 | 02 | OK |
| 42-UW-71 | 1586183364044 | 02 | OK |
| 42-UW-71 | 1586183389065 | 02 | OK |
| 64-IY-98 | 1586183412079 | 02 | OK |
| 45-SH-72 | 1586183425092 | 02 | OK |
| 73-FD-20 | 1586183431097 | 02 | OK |
| 42-UW-71 | 1586183439105 | 02 | OK |
| 28-MC-82 | 1586183450113 | 02 | OK |
| 73-FD-20 | 1586183192919 | 02 | OK |
| 42-UW-71 | 1586183193920 | 02 | OK |
| 28-MC-82 | 1586183204927 | 02 | KO |
| 45-SH-72 | 1586183224944 | 02 | OK |
| 73-FD-20 | 1586183226946 | 02 | OK |
| 55-LZ-42 | 1586183235950 | 02 | OK |
| 28-MC-82 | 1586183267974 | 02 | OK |
| 45-SH-72 | 1586183268975 | 02 | OK |
